Season,Round,Circuit,PoleDriver,RaceWinner,PoleFinishPosition,Lap1Position,WonFromPole
2022,1,Bahrain Grand Prix,LEC,LEC,1.0,1.0,True
2022,2,Saudi Arabian Grand Prix,PER,VER,3.0,2.0,False
2022,3,Australian Grand Prix,LEC,LEC,1.0,1.0,True
2022,4,Emilia Romagna Grand Prix,VER,VER,1.0,1.0,True
2022,5,Miami Grand Prix,LEC,VER,2.0,2.0,False
2022,6,Spanish Grand Prix,LEC,VER,DNF,1.0,False
2022,7,Monaco Grand Prix,LEC,PER,4.0,3.0,False
2022,8,Azerbaijan Grand Prix,LEC,VER,DNF,1.0,False
2022,9,Canadian Grand Prix,VER,VER,1.0,1.0,True
2022,10,British Grand Prix,SAI,SAI,1.0,1.0,True
2022,11,Austrian Grand Prix,VER,LEC,2.0,NA,False
2022,12,French Grand Prix,LEC,VER,DNF,1.0,False
2022,13,Hungarian Grand Prix,RUS,VER,3.0,2.0,False
2022,14,Belgian Grand Prix,SAI,VER,3.0,1.0,False
2022,15,Dutch Grand Prix,VER,VER,1.0,1.0,True
2022,16,Italian Grand Prix,LEC,VER,2.0,1.0,False
2022,17,Singapore Grand Prix,LEC,PER,2.0,1.0,False
2022,18,Japanese Grand Prix,VER,VER,1.0,2.0,True
2022,19,United States Grand Prix,SAI,VER,DNF,1.0,False
2022,20,Mexico City Grand Prix,VER,VER,1.0,1.0,True
2022,21,Ṣo Paulo Grand Prix,RUS,RUS,1.0,1.0,True
2022,22,Abu Dhabi Grand Prix,VER,VER,1.0,1.0,True
